"SC1","SC2","SC3","SC4"
0.075,0.075,0.075,0.075
0.065,0.085,0.085,0.085
0.075,0.085,0.095,0.095
0.075,0.095,0.105,0.105
0.075,0.105,0.105,0.115
0.085,0.115,0.095,0.115
0.075,0.115,0.085,0.105
0.085,0.105,0.095,0.115
0.095,0.115,0.085,0.125
0.105,0.115,0.095,0.135
0.105,0.105,0.105,0.145
0.115,0.115,0.115,0.155
0.125,0.125,0.125,0.155
0.115,0.135,0.115,0.145
0.125,0.125,0.105,0.135
0.125,0.115,0.095,0.135
0.115,0.115,0.105,0.145
0.105,0.105,0.115,0.135
0.095,0.095,0.125,0.125
0.085,0.095,0.135,0.125
0.085,0.085,0.125,0.115
0.085,0.075,0.115,0.105
0.075,0.065,0.105,0.115
0.085,0.065,0.095,0.105
0.075,0.055,0.085,0.115
