SC1,SC2,SC3,SC4
0.115,0.115,0.100,0.115
0.130,0.115,0.115,0.130
0.115,0.130,0.130,0.145
0.130,0.115,0.145,0.160
0.145,0.115,0.145,0.175
0.160,0.130,0.160,0.160
0.145,0.145,0.175,0.160
0.145,0.145,0.175,0.175
0.130,0.130,0.175,0.175
0.145,0.145,0.175,0.175
0.130,0.130,0.175,0.175
0.115,0.145,0.175,0.175
0.100,0.130,0.160,0.160
0.115,0.115,0.145,0.145
0.100,0.130,0.145,0.130
0.115,0.130,0.160,0.130
0.100,0.145,0.175,0.115
0.085,0.130,0.160,0.100
0.075,0.130,0.175,0.085
0.075,0.115,0.175,0.075
0.075,0.130,0.160,0.075
0.075,0.115,0.160,0.075
0.075,0.100,0.175,0.075
0.075,0.115,0.175,0.090
