SC1,SC2,SC3,SC4
0.115,0.115,0.115,0.100
0.130,0.130,0.130,0.115
0.145,0.130,0.130,0.130
0.160,0.145,0.130,0.145
0.175,0.160,0.115,0.130
0.160,0.175,0.100,0.130
0.175,0.175,0.115,0.130
0.175,0.160,0.130,0.115
0.175,0.175,0.115,0.115
0.175,0.160,0.115,0.115
0.175,0.175,0.130,0.130
0.160,0.160,0.115,0.130
0.145,0.145,0.100,0.145
0.145,0.130,0.085,0.160
0.130,0.145,0.070,0.175
0.115,0.160,0.085,0.175
0.100,0.145,0.070,0.175
0.085,0.160,0.055,0.175
0.070,0.175,0.040,0.175
0.055,0.160,0.025,0.160
0.040,0.145,0.010,0.145
0.025,0.145,0.010,0.130
0.010,0.130,0.025,0.130
-0.005,0.145,0.010,0.115
